kb_id,category,topic,content,source_doc,last_updated,applies_to_products,requires_authority_check
RT-001,returns,standard_window,"Items purchased from this store may be returned for a full refund within 30 days of the delivery date, provided they are unused, in resalable condition, and accompanied by their original packaging and any included accessories. The 30-day window applies to all standard-tier customers and to the majority of product categories; the small set of excluded categories is listed separately. Customers are not required to provide a reason for change-of-mind returns initiated within this window. Returns initiated after the 30-day window has elapsed are handled at the discretion of a customer support agent and may be offered store credit rather than a refund to the original payment method. Premium-tier and VIP customers benefit from extended return windows described elsewhere in this policy.","Returns Policy v2.3, §4.1",2025-09-15,,false
RT-002,returns,faulty_items,"Items found to be faulty, defective, or materially different from the product description may be returned at any time within the manufacturer warranty period of 12 months from the delivery date. Faulty-item returns are not subject to the 30-day change-of-mind window and may be initiated regardless of customer tier. Return shipping is provided at no cost to the customer for confirmed faulty items, and refunds are typically processed within 5 business days of the warehouse receiving the returned item. Customers reporting a fault should include a brief description of the issue when initiating the return, as this information is used to route the item to the appropriate inspection queue at the warehouse.","Returns Policy v2.3, §4.2",2025-09-15,,false
RT-003,returns,excluded_categories,"Certain categories of items cannot be returned for change-of-mind reasons under any tier and are excluded from the standard return policy. These include personalised or custom-configured items, downloadable software once a licence key has been issued, consumables once the original packaging has been opened, and hygiene-sensitive accessories such as in-ear headphones once removed from sealed packaging. Faulty items in these excluded categories may still be returned under the warranty provisions, but the 30-day change-of-mind window does not apply. Customers uncertain whether a specific item falls into an excluded category should consult support before initiating a return.","Returns Policy v2.3, §4.3",2025-09-15,,false
RT-004,returns,return_shipping_cost,"Return shipping costs are borne by the company for items returned as faulty, defective, or incorrectly shipped. In these cases a prepaid return label is generated automatically when the return is initiated from the customer account. For change-of-mind returns within the standard 30-day window the customer is responsible for return shipping costs; a discounted prepaid label may be purchased at checkout during the return-initiation flow, or the customer may use a carrier of their own choosing. VIP-tier customers receive complimentary return shipping on all returns regardless of reason. Return shipments must use a tracked service to be eligible for refund.","Returns Policy v2.3, §5.1",2025-09-15,,false
RT-005,returns,return_procedure,"To initiate a return, the customer signs into their account, opens the relevant order from the order history, and selects 'Return items' from the order detail view. The system prompts the customer to select which items to return and to provide a brief reason. Upon submission, a return reference number is generated and a return label is emailed to the customer's registered address. The customer packs the item with its original accessories and packaging, attaches the label, and drops the package at any participating carrier point. Tracking begins as soon as the carrier scans the package. Customers receive an email confirmation when the item arrives at the warehouse and a second confirmation when the refund is processed.","Returns Policy v2.3, §6.1",2025-09-15,,false
RT-006,returns,refund_timeline_after_return,"Refunds are processed internally within 5 business days of the warehouse receiving the returned item and confirming its condition matches the policy requirements. The internal processing step credits the refund to the original payment provider; the additional time required for the refund to appear on the customer's statement depends on the payment provider and typically ranges from 3 to 7 business days for card payments and 1 to 3 business days for PayPal and digital wallets. Customers are notified by email when the internal processing step completes. Refunds for returns flagged for inspection (claims of damage, missing accessories, or evidence of use) may take longer to process while the inspection is completed.","Returns Policy v2.3, §6.3",2025-09-15,,false
RT-007,returns,premium_tier_extended_window,"Customers in the Premium tier benefit from an extended return window of 60 days from the delivery date for change-of-mind returns, replacing the standard 30-day window. All other conditions of the standard return policy apply: items must be unused, in resalable condition, and accompanied by their original packaging and accessories. Premium-tier status is conferred automatically on customers whose cumulative annual spend exceeds €1,000 and is reviewed quarterly. The extended window does not apply to items in the excluded categories. Customer tier is displayed on the account page and is consulted automatically when a return is initiated; agents acting on behalf of a Premium customer should verify the tier before authorising returns outside the standard window.","Returns Policy v2.3, §4.1.1",2025-09-15,,true
RT-008,returns,vip_tier_extended_window,"Customers in the VIP tier benefit from an extended return window of 90 days from the delivery date and from complimentary return shipping on all returns regardless of reason. The 90-day window replaces both the standard 30-day window and the 60-day Premium window. All other conditions of the return policy apply: items must be unused, in resalable condition, and accompanied by their original packaging and accessories. VIP-tier status is conferred on customers whose cumulative annual spend exceeds €5,000 and is reviewed annually. VIP returns are routed to a dedicated processing queue and are typically refunded within 3 business days of warehouse receipt rather than the standard 5 days.","Returns Policy v2.3, §4.1.2",2025-09-15,,true
RT-009,returns,international_returns,"Returns originating outside the European Union are subject to additional customs documentation requirements and longer processing times than EU returns. Customers must include a completed customs declaration form in the return package; the form is generated and emailed alongside the return label when an international return is initiated. Total processing time for international returns is typically 10 to 15 business days from carrier pickup, of which 5 to 10 days are typically spent in customs transit. Customs duties paid on the original shipment are not refundable by the company and must be reclaimed by the customer from the relevant national customs authority. Faulty-item returns from outside the EU follow the same documentation requirements but with prepaid shipping provided.","Returns Policy v2.3, §5.3",2025-09-15,,false
RT-010,returns,packaging_requirement,"Returns must be received in the item's original packaging including any inner protective materials, accessories, manuals, and original outer cardboard where applicable. Items received without their original packaging may be subject to a restocking fee of up to 15% of the item's purchase price, applied as a reduction to the refund amount. Items received with packaging that is damaged but present (for example, a slightly creased box) are not subject to the restocking fee. The company reserves the right to refuse refunds entirely for items returned without their critical accessories such as charging cables, remote controls, or removable components, where these accessories cannot be replaced from inventory.","Returns Policy v2.3, §5.2",2025-09-15,,false
